rank,university,P,P_top1,PP_top1
1219,Natl Polytech Inst - Mexico,3959,21,0.5%
1220,Princess Nourah Bint Abdulrahman Univ,2336,12,0.5%
1221,Novosibirsk State Univ,1224,6,0.5%
1222,Gansu Agr Univ,1848,10,0.5%
1223,Fed Univ São Carlos,2805,15,0.5%
1224,N China Univ Water Resources & Elect Power,1563,8,0.5%
1225,Wuhan Textile Univ,1434,7,0.5%
1226,Hunan Normal Univ,3763,19,0.5%
1227,Çukurova Univ,1835,9,0.5%
1228,AGH Univ Sci & Technol,3514,18,0.5%
1229,Univ Szeged,2154,11,0.5%
1230,N China Univ Sci & Technol,1817,9,0.5%
1231,Univ Engn Technol Lahore,1111,6,0.5%
1232,Beijing Univ Civil Engn & Arch,1222,6,0.5%
1233,Univ Gdańsk,1535,8,0.5%
1234,Kerman Univ Med Sci,1186,6,0.5%
1235,İstanbul Tech Univ,3129,16,0.5%
1236,Miami Univ,1126,6,0.5%
1237,Univ Alicante,2222,11,0.5%
1238,Sardar Vallabhbhai Natl Inst Technol - Surat,1027,5,0.5%
1239,Cracow Univ Technol,1217,6,0.5%
1240,Ferdowsi Univ Mashhad,3444,18,0.5%
1241,Ege Univ,2890,15,0.5%
1242,Shahid Bahonar Univ Kerman,1456,7,0.5%
1243,Graz Univ Technol,1899,10,0.5%
1244,Pondicherry Univ,836,4,0.5%
1245,Natl Inst Technol - Trichy,1549,8,0.5%
1246,Savitribai Phule Pune Univ,1093,6,0.5%
1247,Vilnius Univ,2199,11,0.5%
1248,Univ A Coruña,1441,7,0.5%
1249,Xuzhou Med Coll,3025,15,0.5%
1250,Süleyman Demirel Univ,1111,6,0.5%
1251,Univ Almería,1724,9,0.5%
1252,Nara Inst Sci & Technol,989,5,0.5%
1253,Jichi Med Univ,1089,5,0.5%
1254,Mansoura Univ,3434,17,0.5%
1255,Univ Marie Louis Pasteur (EPE),1116,6,0.5%
1256,Hirosaki Univ,1007,5,0.5%
1257,Univ Guanajuato,932,5,0.5%
1258,Gyeongsang Natl Univ,2857,14,0.5%
1259,Dalian Med Univ,2919,15,0.5%
1260,Zhejiang Chin Med Univ,2953,15,0.5%
1261,Shanghai Univ Elect Power,1437,7,0.5%
1262,Padjadjaran University,1002,5,0.5%
1263,Univ Belgrade,7011,35,0.5%
1264,Univ Gondar,1419,7,0.5%
1265,Nagoya Univ,6916,34,0.5%
1266,Tokai Univ,1095,5,0.5%
1267,Natl Tsing Hua Univ,3101,15,0.5%
1268,Natl Distance Educ Univ,1007,5,0.5%
1269,Chosun Univ,1608,8,0.5%
1270,Gebze Tech Univ,939,5,0.5%
1271,Zunyi Med Univ,1970,10,0.5%
1272,Xi'an Technol Univ,1544,8,0.5%
1273,Jiangxi Univ Tradit Chin Med,986,5,0.5%
1274,Northwest Normal Univ,3051,15,0.5%
1275,Cath Univ Korea,4562,22,0.5%
1276,Univ Santiago Chile,1031,5,0.5%
1277,Univ Cádiz,1832,9,0.5%
1278,Wannan Med Coll,1057,5,0.5%
1279,Islamic Azad Univ - Sci & Res - Tehran,2556,12,0.5%
1280,Kaunas Univ Technol,1212,6,0.5%
1281,Shimane Univ,882,4,0.5%
1282,Int Islamic Univ Islamabad,863,4,0.5%
1283,Natl Yunlin Univ Sci & Technol,1056,5,0.5%
1284,Ningxia Med Univ,1377,7,0.5%
1285,Univ Nigeria,1526,7,0.5%
1286,Dong-a Univ,977,5,0.5%
1287,Capital Med Univ,15250,73,0.5%
1288,N Minzu Univ,1037,5,0.5%
1289,Univ Warsaw,3657,17,0.5%
1290,Fed Univ Rio Grande Norte,2568,12,0.5%
1291,Celal Bayar Univ,854,4,0.5%
1292,Shanghai Inst Technol,1568,7,0.5%
1293,Prince Sattam bin Abdulaziz Univ,2508,12,0.5%
1294,Adam Mickiewicz Univ Poznań,2462,12,0.5%
1295,Częstochowa Univ Technol,919,4,0.5%
1296,Chung-Ang Univ,4870,23,0.5%
1297,Chongqing Med Univ,7623,36,0.5%
1298,Kyungpook Natl Univ,5958,28,0.5%
1299,Xihua Univ,1415,7,0.5%
1300,Naval Univ Engn,1207,6,0.5%
1301,Indian Stat Inst,905,4,0.5%
1302,E China Univ Technol,1261,6,0.5%
1303,Yanbian Univ,872,4,0.5%
1304,Harbin Med Univ,4880,23,0.5%
1305,Univ Jaén,1568,7,0.5%
1306,Guilin Univ Electron Technol,2333,11,0.5%
1307,Jeonbuk Natl Univ,3894,18,0.5%
1308,Changchun Univ Technol,1248,6,0.5%
1309,Indian Inst Technol Indore,1605,7,0.5%
1310,Natl Cheng Kung Univ,5935,28,0.5%
1311,Taiyuan Univ Technol,5570,26,0.5%
1312,Shahid Beheshti Univ,2879,13,0.5%
1313,Univ Sfax,2666,12,0.5%
1314,Univ Punjab,2764,13,0.5%
1315,Gwangju Inst Sci & Technol,1721,8,0.5%
1316,Chonnam Natl Univ,4525,21,0.5%
1317,Univ Pécs,1465,7,0.5%
1318,Peter Great St Petersburg Polytech Univ,814,4,0.5%
1319,Univ Fed Rural Pernambuco,1066,5,0.5%
1320,Univ La Laguna,1586,7,0.5%
1321,Wuhan Polytech Univ,1078,5,0.5%
1322,Indian Inst Technol Madras,4957,23,0.5%
1323,Czech Tech Univ Prague,2067,9,0.5%
1324,Mil Univ Technol - Warsaw,908,4,0.5%
1325,Çanakkale Onsekiz Mart Univ,1039,5,0.5%
1326,Univ São Paulo,20584,93,0.5%
1327,Tokyo Inst Technol,4710,21,0.4%
1328,Isfahan Univ Technol,2964,13,0.4%
1329,Ajou Univ,2726,12,0.4%
1330,Natl Taiwan Ocean Univ,1245,6,0.4%
1331,Alexandru Ioan Cuza Univ Iaşi,937,4,0.4%
1332,Incheon Natl Univ,1562,7,0.4%
1333,Ankara Univ,2977,13,0.4%
1334,Taibah Univ,1316,6,0.4%
1335,HSE Univ,2075,9,0.4%
1336,Tokyo Med Univ,963,4,0.4%
1337,Tokyo Metropolitan Univ,1166,5,0.4%
1338,Univ Karachi,1211,5,0.4%
1339,Ariel Univ,1546,7,0.4%
1340,Univ Fed Paraná,3470,15,0.4%
1341,Univ Peshawar,853,4,0.4%
1342,Sidi Mohamed Ben Abdellah Univ,1195,5,0.4%
1343,Univ Wrocław,1639,7,0.4%
1344,Univ Gadjah Mada,1193,5,0.4%
1345,Chulalongkorn Univ,4840,21,0.4%
1346,Hokkaido Univ,7311,31,0.4%
1347,Ain Shams Univ,3516,15,0.4%
1348,Univ Fed Espírito Santo,1629,7,0.4%
1349,Natl Inst Technol Karnataka - Surathkal,1271,5,0.4%
1350,Univ Zagreb,5512,24,0.4%
1351,Changchun Univ Chin Med,813,3,0.4%
1352,Kocaeli Univ,1324,6,0.4%
1353,Vilnius Gediminas Tech Univ,921,4,0.4%
1354,Univ Picardie Jules Verne,835,4,0.4%
1355,Dankook Univ,1824,8,0.4%
1356,Indian Inst Technol Patna,1290,5,0.4%
1357,Univ Fed Juiz de Fora,1234,5,0.4%
1358,Hacettepe Univ,4494,19,0.4%
1359,Qiqihar Univ,852,4,0.4%
1360,Marmara Univ,2047,9,0.4%
1361,Univ Baghdad,861,4,0.4%
1362,Waseda Univ,2777,12,0.4%
1363,Univ Haifa,2705,11,0.4%
1364,Univ Buenos Aires,3648,15,0.4%
1365,Showa Univ,872,4,0.4%
1366,Chiba Univ,3012,13,0.4%
1367,Cairo Univ,6143,25,0.4%
1368,Bahir Dar Univ,951,4,0.4%
1369,Univ Silesia Katowice,1433,6,0.4%
1370,Natl Autonomous Univ Mexico,10040,41,0.4%
1371,Kyonggi Univ,814,3,0.4%
1372,Yıldız Tech Univ,2528,10,0.4%
1373,Univ West Cape,1034,4,0.4%
1374,Univ Fed Viçosa,2711,11,0.4%
1375,Univ Republic,1721,7,0.4%
1376,Bengbu Med Coll,1156,5,0.4%
1377,Univ Udine,1549,6,0.4%
1378,Univ Tsukuba,4481,18,0.4%
1379,All India Inst Med Sci - New Dehli,3254,13,0.4%
1380,Brock Univ,1020,4,0.4%
1381,King Mongkut's Univ Technol - Thonburi,1151,5,0.4%
1382,Natl Cent Univ,2080,8,0.4%
1383,Postgrad Inst Med Educ & Res,2666,11,0.4%
1384,Tianjin Normal Univ,1102,4,0.4%
1385,Keimyung Univ,1177,5,0.4%
1386,Harbin Normal Univ,1019,4,0.4%
1387,Xinxiang Med Univ,1233,5,0.4%
1388,Wrocław Univ Sci & Technol,3128,12,0.4%
1389,Hiroshima Univ,4695,19,0.4%
1390,Shanxi Normal Univ,889,4,0.4%
1391,Rhodes Univ,877,3,0.4%
1392,Pusan Natl Univ,5961,24,0.4%
1393,Addis Ababa Univ,1784,7,0.4%
1394,Indian Inst Technol Ropar,1135,4,0.4%
1395,Univ Carthage,1272,5,0.4%
1396,Indian Inst Sci Educ & Res Kolkata,967,4,0.4%
1397,Shiraz Univ,3220,13,0.4%
1398,China Jiliang Univ,2269,9,0.4%
1399,Anhui Normal Univ,1798,7,0.4%
1400,Mahidol Univ,5053,20,0.4%
1401,Cumhuriyet Univ,1146,4,0.4%
1402,Homi Bhabha Natl Inst,2591,10,0.4%
1403,Univ Fed São Paulo,3415,13,0.4%
1404,Xi'an Shiyou Univ,1051,4,0.4%
1405,Soonchunhyang Univ,1780,7,0.4%
1406,Tezpur Univ,849,3,0.4%
1407,Univ Latvia,861,3,0.4%
1408,Menoufia Univ,1478,6,0.4%
1409,Kangwon Natl Univ,2813,11,0.4%
1410,Slovak Univ Technol Bratislava,1099,4,0.4%
1411,Univ Oviedo,2761,10,0.4%
1412,State Univ Maringá,1890,7,0.4%
1413,Univ Sci & Technol Houari Boumediene,1034,4,0.4%
1414,Univ Antioquia,1642,6,0.4%
1415,Chang Gung Univ,6020,23,0.4%
1416,Univ Fed Minas Gerais,5844,22,0.4%
1417,Kanazawa Univ,2484,9,0.4%
1418,Univ Ulsan,5532,21,0.4%
1419,Natl Univ Cordoba,1509,6,0.4%
1420,Ahvaz Jundishapur Univ Med Sci,1046,4,0.4%
1421,Kyoto Prefect Univ Med,1134,4,0.4%
1422,Tokushima Univ,1417,5,0.4%
1423,Univ Fed Alagoas,876,3,0.4%
1424,Univ Novi Sad,2602,10,0.4%
1425,Fed Univ Rio Grande do Sul,6042,22,0.4%
1426,King Mongkut's Inst Technol - Ladkrabang,919,3,0.4%
1427,Okayama Univ,3041,11,0.4%
1428,Natl Taiwan Normal Univ,1402,5,0.4%
1429,Jeju Natl Univ,1481,5,0.4%
1430,Univ Brasília,3155,11,0.4%
1431,Fed Univ Paraíba,1961,7,0.4%
1432,Makerere Univ,1434,5,0.4%
1433,Yokohama City Univ,1580,6,0.4%
1434,Chungnam Natl Univ,3984,14,0.4%
1435,Univ Nal La Plata,1929,7,0.4%
1436,Air Force Engn Univ,1509,5,0.4%
1437,Cha Univ,1118,4,0.4%
1438,Univ Debrecen,2203,8,0.4%
1439,Heilongjiang Univ Chin Med,834,3,0.4%
1440,Jimei Univ,1339,5,0.4%
1441,Selçuk Univ,1662,6,0.4%
1442,W Pomeranian Univ Technol - Szczecin,1240,4,0.4%
1443,South Fed Univ,1004,4,0.4%
1444,Univ Concepción,1740,6,0.4%
1445,Natl Chung Hsing Univ,2429,9,0.4%
1446,Rzeszów Univ Technol,1009,4,0.3%
1447,Natl Yang Ming Chiao Tung Univ,6918,24,0.3%
1448,Univ Calcutta,1685,6,0.3%
1449,Univ Huelva,862,3,0.3%
1450,Fırat Univ,1862,6,0.3%
1451,Yüzüncü Yıl Univ,1256,4,0.3%
1452,Univ Mazandaran,896,3,0.3%
1453,Nara Med Univ,928,3,0.3%
1454,Univ Fed Rio Grande,861,3,0.3%
1455,Shijiazhuang Tiedao Univ,966,3,0.3%
1456,Sahand Univ Technol,1090,4,0.3%
1457,Anhui Univ Sci & Technol,3212,11,0.3%
1458,Yancheng Inst Technol,1015,3,0.3%
1459,Fed Univ Lavras,1702,6,0.3%
1460,Nagasaki Univ,1978,7,0.3%
1461,Univ Monastir,1630,6,0.3%
1462,Ritsumeikan Univ,1205,4,0.3%
1463,Feng Chia Univ,994,3,0.3%
1464,Soongsil Univ,1222,4,0.3%
1465,Tokyo Univ Agr & Technol,1526,5,0.3%
1466,Tokyo Med & Dent Univ,2408,8,0.3%
1467,National Chung Cheng Univ,904,3,0.3%
1468,Yokohama Natl Univ,1082,4,0.3%
1469,Kaohsiung Med Univ,2512,8,0.3%
1470,Eskişehir Osmangazi Univ,1310,4,0.3%
1471,Mie Univ,1244,4,0.3%
1472,Kunming Med Univ,2416,8,0.3%
1473,Niigata Univ,1635,5,0.3%
1474,Univ Las Palmas Gran Canaria,1216,4,0.3%
1475,Kookmin Univ,1106,4,0.3%
1476,Kobe Univ,3405,11,0.3%
1477,Univ Fed Fluminense,2289,7,0.3%
1478,Natl Sun Yat-sen Univ,1945,6,0.3%
1479,Chiang Mai Univ,3738,12,0.3%
1480,Rio de Janeiro State Univ,1638,5,0.3%
1481,Army Engn Univ PLA,1696,5,0.3%
1482,Hanoi Univ Sci & Technol,967,3,0.3%
1483,Victor Babeş Univ Med & Pharma - Timisoara,937,3,0.3%
1484,Univ Fed Uberlândia,1702,5,0.3%
1485,Visvesvaraya Natl Inst Technol - Nagpur,960,3,0.3%
1486,Fed Univ Mato Grosso Sul,913,3,0.3%
1487,Bursa Uludağ Univ,1597,5,0.3%
1488,Nagoya Inst Technol,950,3,0.3%
1489,Gunma Univ,1291,4,0.3%
1490,Autonomous Univ Nuevo Leon,1529,5,0.3%
1491,Imam Mohammad Ibn Saud Islamic Univ,986,3,0.3%
1492,İstanbul Univ,2632,8,0.3%
1493,Fujian Med Univ,6679,20,0.3%
1494,Hebei Med Univ,4141,12,0.3%
1495,Univ Fed Bahia,2088,6,0.3%
1496,Univ Maine - Orono,996,3,0.3%
1497,Inner Mongolia Univ Sci & Technol,1041,3,0.3%
1498,Warsaw Univ Technol,3049,9,0.3%
1499,Univ Fed Ouro Preto,829,2,0.3%
1500,Ningxia Univ,1945,6,0.3%
1501,Univ Tecnol Fed Paraná,1502,4,0.3%
1502,Univ Yamanashi,1001,3,0.3%
1503,Natl Taipei Univ Technol,2189,6,0.3%
1504,Shihezi Univ,2550,7,0.3%
1505,Tokyo Univ Sci,2107,6,0.3%
1506,Jiangsu Ocean Univ,841,2,0.3%
1507,Cochin Univ Sci & Technol,850,2,0.3%
1508,Necmettin Erbakan Univ,1081,3,0.3%
1509,Univ Fed Sergipe,1000,3,0.3%
1510,Kagoshima Univ,1393,4,0.3%
1511,Airlangga university,806,2,0.3%
1512,Guangdong Pharmaceut Univ,1432,4,0.3%
1513,Ehime Univ,1188,3,0.3%
1514,Pukyong Natl Univ,2072,6,0.3%
1515,İstanbul Univ Cerrahpaşa,2276,6,0.3%
1516,VŠB - Tech Univ Ostrava,1197,3,0.3%
1517,Fed Univ Para,1933,5,0.3%
1518,Univ Austral Chile,816,2,0.3%
1519,Changchun Univ Sci & Technol,2359,6,0.3%
1520,Dokuz Eylül Univ,2064,6,0.3%
1521,Shandong Jianzhu Univ,1367,4,0.3%
1522,Shanxi Med Univ,2985,8,0.3%
1523,Yamaguchi Univ,1178,3,0.3%
1524,Henan Univ Chin Med,821,2,0.3%
1525,Inner Mongolia Univ Technol,1140,3,0.3%
1526,Univ Estadual Paulista,8083,22,0.3%
1527,Natl Inst Mental Hlth & Neurosci,933,2,0.3%
1528,Kazan Fed Univ - Volga,1474,4,0.3%
1529,Univ Fed ABC,1238,3,0.3%
1530,N Sichuan Med Univ,1128,3,0.3%
1531,Univ Politec Cartagena,823,2,0.3%
1532,Shanxi Agr Univ,1436,4,0.3%
1533,Kwame Nkrumah Univ Sci & Technol,1159,3,0.3%
1534,Fed Univ Pernambuco,2942,7,0.3%
1535,Pamukkale Univ,1115,3,0.2%
1536,Univ Fed Ceará,2531,6,0.2%
1537,Shinsu Univ,1916,5,0.2%
1538,Kuwait Univ,1244,3,0.2%
1539,Nagoya City Univ,1002,2,0.2%
1540,Univ Toyama,1364,3,0.2%
1541,Jinzhou Med Univ,920,2,0.2%
1542,İnönü Univ,1263,3,0.2%
1543,Gifu Univ,1450,4,0.2%
1544,Khon Kaen Univ,2436,6,0.2%
1545,Wonkwang Univ,868,2,0.2%
1546,Ankara Yıldırım Beyazıt Univ,815,2,0.2%
1547,Univ Natl Colombia,2264,5,0.2%
1548,Chengdu Univ Info Technol,876,2,0.2%
1549,Kasetsart Univ,1997,5,0.2%
1550,Arak Univ,803,2,0.2%
1551,Lomonosov Moscow State Univ,6498,15,0.2%
1552,Thammasat Univ,1182,3,0.2%
1553,Univ Autonom San Luis Potosí,901,2,0.2%
1554,Univ Rijeka,950,2,0.2%
1555,Prince Songkla Univ,2357,5,0.2%
1556,Qinghai Univ,1405,3,0.2%
1557,Pontificia Univ Católica Valparaíso,897,2,0.2%
1558,St Petersburg State Univ,3315,7,0.2%
1559,Hallym Univ,2345,5,0.2%
1560,Hongik Univ,917,2,0.2%
1561,Guangxi Med Univ,3805,8,0.2%
1562,Tech Univ Košice,1051,2,0.2%
1563,Shizuoka Univ,1040,2,0.2%
1564,Seoul Ntl Univ Sci & Technol,1602,3,0.2%
1565,Tzu Chi Univ,858,2,0.2%
1566,Osaka Metropolitan Univ,3031,6,0.2%
1567,Inje Univ,1400,3,0.2%
1568,Zhejiang Univ Sci & Technol,943,2,0.2%
1569,Univ Guadalajara,1647,3,0.2%
1570,Nihon Univ,1971,3,0.2%
1571,Yamagata Univ,1144,2,0.2%
1572,Beijing Informat Sci & Technol Univ,993,2,0.2%
1573,Univ Autónoma Metropolitana,1216,2,0.2%
1574,Londrina State Univ,1291,2,0.2%
1575,Info Engn Univ,901,1,0.2%
1576,Univ Indonesia,1527,2,0.2%
1577,Univ Tunis El Manar,1995,3,0.1%
1578,Univ Fed Goiás,2024,3,0.1%
1579,Kongju Natl Univ,1074,2,0.1%
1580,Fukushima Med Univ,949,1,0.1%
1581,Xinjiang Med Univ,1894,2,0.1%
1582,Univ Hlth Sci - Turkey,5371,7,0.1%
1583,Jikei Univ Sch Med,1062,1,0.1%
1584,Tomsk State Univ,964,1,0.1%
1585,Chung Shan Med Univ,1189,1,0.1%
1586,Toho Univ,990,1,0.1%
1587,Tottori Univ,1133,1,0.1%
1588,Kitasato Univ,1361,2,0.1%
1589,Tokyo Women's Med Univ,958,1,0.1%
1590,Gaziantep Univ,913,1,0.1%
1591,Benemerita Univ Autonoma Puebla,852,1,0.1%
1592,Jimma Univ,911,1,0.1%
1593,Başkent Univ,914,1,0.1%
1594,Natl Def Med Ctr,1170,0,0.0%
